"number.immigrants","p.establish","Kapx","r","b","beta","init.size","Kexact","rcrit"
"6",0.0249109580236228,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"7",0.0385371254972186,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"8",0.0563451861364281,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"9",0.0785850921034132,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"10",0.105320441224681,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"11",0.136434220542228,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"12",0.171642394325348,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"1",0.000503981633384543,150,1,10,20,0.5,128.309518948453,11.690481051547
"2",0.00164854100397162,150,1,10,20,0.5,128.309518948453,11.690481051547
"3",0.00390602562751909,150,1,10,20,0.5,128.309518948453,11.690481051547
"4",0.00787604862952163,150,1,10,20,0.5,128.309518948453,11.690481051547
"5",0.0142290978384633,150,1,10,20,0.5,128.309518948453,11.690481051547
"6",0.0236405139685593,150,1,10,20,0.5,128.309518948453,11.690481051547
"7",0.036735128703601,150,1,10,20,0.5,128.309518948453,11.690481051547
"8",0.0540510295575099,150,1,10,20,0.5,128.309518948453,11.690481051547
"9",0.0760191743514971,150,1,10,20,0.5,128.309518948453,11.690481051547
"10",0.102950019980188,150,1,10,20,0.5,128.309518948453,11.690481051547
"11",0.135018893537664,150,1,10,20,0.5,128.309518948453,11.690481051547
"1",0.0228194059946779,50,1,5,7.5,1,42.0256241897666,2.97437581023336
"2",0.0632604820527217,50,1,5,7.5,1,42.0256241897666,2.97437581023336
"1",0.0165522778919603,100,1,5,7.5,1,92.2911821679223,2.70881783207771
"2",0.0474223542254871,100,1,5,7.5,1,92.2911821679223,2.70881783207771
"1",0.013655036601247,150,1,5,7.5,1,142.365943062411,2.63405693758939
"2",0.0396001544830151,150,1,5,7.5,1,142.365943062411,2.63405693758939
"1",0.0187160503655188,50,1,6,9,1,40.2756668824971,3.72433311750293
"2",0.0512184527522602,50,1,6,9,1,40.2756668824971,3.72433311750293
"3",0.0991465081868453,50,1,6,9,1,40.2756668824971,3.72433311750293
"1",0.0135525577562349,100,1,6,9,1,90.692104549907,3.30789545009305
"2",0.0382402615617095,100,1,6,9,1,90.692104549907,3.30789545009305
"1",0.0112281731987606,150,1,6,9,1,140.804069647078,3.19593035292171
"2",0.0320251605656998,150,1,6,9,1,140.804069647078,3.19593035292171
"1",0.0155403329728032,50,1,7,10.5,1,38.4484512566783,4.55154874332171
"2",0.0420941431196834,50,1,7,10.5,1,38.4484512566783,4.55154874332171
"3",0.081221637733241,50,1,7,10.5,1,38.4484512566783,4.55154874332171
"4",0.133012408593087,50,1,7,10.5,1,38.4484512566783,4.55154874332171
"1",0.0113071344296614,100,1,7,10.5,1,89.0705297124666,3.92947028753343
"2",0.0315188618118802,100,1,7,10.5,1,89.0705297124666,3.92947028753343
"3",0.0631540594432264,100,1,7,10.5,1,89.0705297124666,3.92947028753343
"1",0.00939993932562451,150,1,7,10.5,1,139.2292403619,3.77075963810017
"2",0.0264591524216842,150,1,7,10.5,1,139.2292403619,3.77075963810017
"3",0.0537273367168003,150,1,7,10.5,1,139.2292403619,3.77075963810017
